object,drug,method,reason,Estimate,SE,IRR,Lower95,Upper95,p_value,prior_mean_log,prior_var_log,shrunken_log_rr,post_se_log,shrunken_irr,lower_ci,upper_ci,z_shrunk,p_shrunk,sig_any
Lisinopril,Abacavir,poisson_fe,unadjusted,-0.154067599241177,1.48345884152672,0.85721407203203,0.0468105380857559,15.6976611536395,0.917282823863587,0,0.25,-0.0157170129134295,0.47381068322309,0.984405854787409,0.38891831209475,2.49166690485802,-0.0331715038726329,0.973537822227403,FALSE
Lisinopril,Abiraterone Acetate,poisson_fe,unadjusted,1.8370240782901,0.76460703648591,6.27782810989916,1.40269345787046,28.0967488343983,0.0162801931491284,0,0.25,0.550255041142831,0.418468604812506,1.73369512507325,0.763422684295728,3.9371358076366,1.31492550412323,0.188534940331853,FALSE
Lisinopril,Acamprosate Calcium,poisson_fe,unadjusted,-0.446817734493806,0.873326420512691,0.639660485692674,0.115493905262956,3.54274570614789,0.608911798394114,0,0.25,-0.110303683096439,0.433916739815028,0.89556212691669,0.382594157299597,2.09629840881104,-0.254204719420273,0.799337404770169,FALSE
Lisinopril,Acarbose,poisson_fe,unadjusted,2.3095802191752,1.1437423080138,10.0701964922355,1.07019973092295,94.7569453271832,0.0434541065235192,0,0.25,0.370565326797129,0.458135611103467,1.44855328922365,0.590148858734447,3.55555484123177,0.808855102760041,0.418598496518677,FALSE
Lisinopril,Acebutolol Hydrochloride,poisson_fe,unadjusted,1.06083260293576,1.27516057026962,2.88877519096113,0.23728766089825,35.168377792265,0.405453649899494,0,0.25,0.141366352039613,0.46549441165356,1.15184655203098,0.462549040192837,2.86834554639338,0.303690760835221,0.761363497555309,FALSE
Lisinopril,Acetaminophen,poisson_fe,unadjusted,0.214319129991225,0.0524021693391239,1.23901799951023,1.1180777074498,1.37304016785369,0.0000431577051005205,0,0.25,0.211990635575563,0.0521167272710418,1.23613630931924,1.1161015451799,1.36908060186504,4.06761219815415,0.0000474973409005874,TRUE
Lisinopril,Acetazolamide,poisson_fe,unadjusted,0.280346522700839,0.626229385060713,1.32358838630213,0.387878523548308,4.51658472948599,0.654388593465416,0,0.25,0.109141455027934,0.390733569959004,1.11532010682033,0.518561658096791,2.39882552297285,0.279324489675625,0.779995813886364,FALSE
Lisinopril,Acetic Acid,poisson_fe,unadjusted,-0.410627264956661,1.10397883741578,0.663234096123989,0.0761975639247849,5.77288096369606,0.709928501168283,0,0.25,-0.0698930853837943,0.455463902962115,0.932493511762519,0.38189776572393,2.27690295027225,-0.153454719307598,0.878039696057007,FALSE
Lisinopril,Acetylcysteine,poisson_fe,unadjusted,-0.359609434748891,1.48249054937351,0.697948867419642,0.0381858247713357,12.7568966874333,0.808337634142564,0,0.25,-0.0367281470285078,0.473779105819917,0.96393814918301,0.3808555176911,2.43970931833524,-0.0775216690169282,0.938208553759883,FALSE
Lisinopril,Acitretin,poisson_fe,unadjusted,0.0111102438301351,1.26731320777073,1.01117219179555,0.0843463584014489,12.122268475352,0.993005218903589,0,0.25,0.00149646395491107,0.465109592089366,1.00149758421584,0.402476593527869,2.4920639543246,0.00321744376027305,0.997432855727583,FALSE
Lisinopril,Aclidinium Bromide,poisson_fe,unadjusted,0.704540852146449,0.51326568138674,2.02291765335879,0.739737501533892,5.53195670597371,0.169857111173579,0,0.25,0.34304815301346,0.358151421677807,1.40923661928257,0.698424193680665,2.8434694374791,0.957829935188882,0.338148521561879,FALSE
Lisinopril,Acyclovir,poisson_fe,unadjusted,0.0746336628640562,0.209457440575701,1.07748935421067,0.714692484319989,1.6244515423189,0.721601692311143,0,0.25,0.0634915510387598,0.193190774046592,1.0655504829687,0.729670390920247,1.55604207856495,0.328646910558201,0.742422586313559,FALSE
Lisinopril,Adalimumab,poisson_fe,unadjusted,-0.35360464679128,0.483393907395022,0.702152510736076,0.27224395935231,1.81094247051764,0.46447127382507,0,0.25,-0.182771770145191,0.34753356036079,0.832958239982989,0.421499137227428,1.64607556285743,-0.525911137777449,0.598949950005837,FALSE
Lisinopril,Albuterol Sulfate,poisson_fe,unadjusted,0.192098562551734,0.073438926620299,1.21178994818854,1.04933671690247,1.39939340240132,0.00890292675827313,0,0.25,0.188041914809947,0.0726593645734252,1.20688410060717,1.0466866048036,1.39160014622684,2.5879928335999,0.00965369890688414,TRUE
Lisinopril,Alendronate Sodium,poisson_fe,unadjusted,0.0296098833278393,0.179714997540484,1.03005261486268,0.724240679310962,1.46499419280741,0.869132712408385,0,0.25,0.0262222348673416,0.169122279923216,1.02656906256449,0.736933638356719,1.43003926725951,0.1550489674054,0.876782713640017,FALSE
Lisinopril,Alfuzosin Hydrochloride,poisson_fe,unadjusted,0.488174455519971,0.419144568121171,1.62933907237485,0.71652015809135,3.70505390921448,0.244143562638451,0,0.25,0.286701259230228,0.321211523506459,1.33202622349136,0.709728109366897,2.49996278384885,0.892562184882084,0.372091677528605,FALSE
Lisinopril,Alirocumab,poisson_fe,unadjusted,-1.40256694531591,1.01761986681125,0.245964774764758,0.0334701298468806,1.80754214883085,0.168116299067969,0,0.25,-0.272756161640788,0.44875682054619,0.761278393873519,0.315903172050837,1.83456465225168,-0.607803935567624,0.54331751877079,FALSE
Lisinopril,Aliskiren,poisson_fe,unadjusted,-0.624996565995098,0.540514321407861,0.535263266612516,0.185554871775881,1.54405412179505,0.24755857717243,0,0.25,-0.28819974110411,0.367041510132177,0.749611848986228,0.365093752957821,1.539105831278,-0.785196587166189,0.432338316148787,FALSE
